Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_1060_1x2032,1,Battery_Cell,
"C1, C11, C12, C7",CP_EIA-6032-28_Kemet-C,4,10u,
"C10, C13, C16, C18, C19, C2, C20, C3, C5, C6, C9",CP_EIA-7343-31_Kemet-D,11,47u,
"C100, C102, C105, C106, C107, C108, C110, C113, C114, C116, C117, C118, C119, C120, C122, C123, C124, C127, C130, C132, C134, C138, C139, C140, C142, C147, C148, C149, C153, C154, C155, C156, C161, C37, C40, C41, C42, C45, C46, C48, C49, C51, C53, C54, C55, C57, C61, C62, C63, C70, C78, C79, C81, C82, C83, C85, C86, C87, C89, C90, C93, C94, C95, C96, C98",1206,65,100n,
"C101, C103, C104, C109, C111, C112, C115, C121, C125, C126, C128, C133, C135, C136, C137, C141, C143, C144, C145, C146, C150, C151, C152, C22, C26, C27, C32, C33, C34, C36, C39, C43, C44, C47, C52, C56, C58, C59, C60, C66, C73, C74, C75, C76, C77, C80, C84, C88, C91, C92, C97, C99",1206,52,10n,
C129,1206,1,10p,
"C131, C29, C30, C31, C64, C67, C68, C69, C71",1206,9,33p,
"C14, C15, C8",CP_Axial_L25.0mm_D10.0mm_P33.00mm_Horizontal,3,470u,
"C157, C158, C21, C23, C24, C28, C35, C38, C50",1206,9,1n,
"C159, C160",1206,2,18p,
C17,CP_Axial_L11.0mm_D6.0mm_P20.00mm_Horizontal,1,220u,
C4,2225,1,1u,
"C65, C72",1206,2,33p,DNP
D1,D_MELF,1,SM4001,
"D10, D9",D_SMA_Handsoldering,2,TRANSZORB 10V,
"D3, D4, D5, D6, D7, D8",SOT-23,6,1N914,
DS1,LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm,1,LED,
"F1, F2, F3",Fuse_SMD,3,0.9A,
"J1, J2",4Pin_MINI_DIN,2,Mini-DIN-4,
"J10, J11, J9",DIN41612_96P_NoOutline,3,DIN41612_96P_3Row,
J12,SIM_64,1,Conn_02x32_Odd_Even,
J13,DIN41612_120P_NoOutline,1,Conn_01x40,
J14,Molex_Mini-Fit_Jr_5566-10A2_2x05_P4.20mm_Vertical,1,POWER,
J15,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03,
J16,IDC-Header_2x25_P2.54mm_Vertical,1,Conn_02x25_Odd_Even,
J17,IDC-Header_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
J18,Molex_Mini-Fit_Jr_5566-04A_2x02_P4.20mm_Vertical,1,Conn_02x02_Top_Bottom,
"J19, J20, J21, J22",SIMM_30_Dual - Dual width,4,Conn_02x30_Top_Bottom,
"J23, W1",PinHeader_1x02_P2.54mm_Vertical,2,Conn_02x01,
J25,Molex_Mini-Fit_Jr_5566-20A_2x10_P4.20mm_Vertical,1,ATX-20,
J3,Audio,1,~,
"J4, J5",8Pin_MINI_DIN,2,Mini-DIN-8,
J6,DSUB-15_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,DA15_Receptacle_MountingHoles,
J7,DSUB-25_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm,1,DB25_Receptacle_MountingHoles,
