Designator,Mid X,Mid Y,Rotation,Layer
BT1,879.5088,-199.0852,270.0,top
C1,744.2043,51.689,180.0,top
C10,839.1619,8.4328,0.0,top
C100,633.5098,-64.262,180.0,bottom
C101,689.6438,-67.9958,180.0,bottom
C102,657.6652,-66.7512,180.0,bottom
C103,826.3212,-77.597,0.0,bottom
C104,695.7652,-79.3496,180.0,bottom
C105,657.6398,-81.9658,180.0,bottom
C106,695.8668,-92.1766,0.0,bottom
C107,710.8528,-95.9866,0.0,bottom
C108,671.6098,-97.0534,180.0,bottom
C109,647.4798,-97.3074,0.0,bottom
C11,860.3559,8.1534,0.0,top
C110,695.8668,-107.4674,0.0,bottom
C111,624.6452,-104.9274,180.0,bottom
C112,657.5128,-112.4712,0.0,bottom
C113,622.0544,-112.522,0.0,bottom
C114,674.1752,-115.0112,0.0,bottom
C115,862.4636,-113.792,0.0,bottom
C116,776.9182,-125.1712,180.0,bottom
C117,759.1382,-125.1712,180.0,bottom
C118,741.3836,-125.1712,180.0,bottom
C119,723.8068,-125.222,180.0,bottom
C12,839.9089,-0.8636,0.0,top
C120,674.226,-122.7328,180.0,bottom
C121,666.5298,-122.7328,0.0,bottom
C122,657.6906,-122.7328,0.0,bottom
C123,628.7582,-122.7328,0.0,bottom
C124,855.4532,-113.792,0.0,bottom
C125,707.1444,-132.9182,0.0,bottom
C126,832.6966,-135.4328,180.0,bottom
C127,808.6936,-135.4328,0.0,bottom
C128,651.2136,-141.7066,0.0,bottom
C129,865.5878,-148.0566,180.0,bottom
C13,839.2615,-6.2992,0.0,top
C130,839.0466,-149.4028,180.0,bottom
C131,865.5878,-150.5966,180.0,bottom
C132,664.0152,-155.7274,180.0,bottom
C133,637.3452,-155.8036,180.0,bottom
C134,847.962,-160.9344,180.0,bottom
C135,847.9638,-165.989,180.0,bottom
C136,811.1574,-166.4208,0.0,bottom
C137,875.8258,-173.7106,0.0,bottom
C138,774.4036,-171.0182,0.0,bottom
C139,731.2744,-171.069,180.0,bottom
C14,825.2236,-18.3134,0.0,top
C140,710.9544,-171.0182,0.0,bottom
C141,678.0868,-171.0436,0.0,bottom
C142,651.2644,-171.069,0.0,bottom
C143,670.416,-192.0494,180.0,bottom
C144,751.3404,-204.0636,180.0,bottom
C145,731.1728,-204.0382,180.0,bottom
C146,710.8782,-204.0382,0.0,bottom
C147,655.1252,-216.1032,0.0,bottom
C148,885.9858,-125.857,270.0,bottom
C149,845.3458,-224.2566,180.0,bottom
C15,825.2236,-31.0642,0.0,top
C150,824.975,-224.2566,180.0,bottom
C151,804.7058,-224.2566,180.0,bottom
C152,784.1318,-224.5106,180.0,bottom
C153,761.4242,-229.2096,0.0,bottom
C154,741.4852,-229.5144,0.0,bottom
C155,721.011,-229.5144,0.0,bottom
